natheal,nathealy,health,race,relig,sex,income,year,wtssps,wtssall,wtssnr
NA,NA,1,1,2,2,NA,1972,1.2425285899404754,0.8893,NA
NA,NA,1,1,1,1,NA,1972,0.8618133855436148,0.8893,NA
NA,NA,1,1,2,2,NA,1972,1.0399936353422343,0.8893,NA
NA,NA,1,1,2,1,NA,1972,0.8614351275099086,0.8893,NA
NA,NA,2,1,5,2,NA,1972,1.2608185241059875,1.3339,NA
NA,NA,2,1,2,1,NA,1972,0.8936299851191399,0.8893,NA
NA,NA,1,1,1,2,NA,1972,2.485057179880951,1.7786,NA
NA,NA,1,1,1,1,NA,1972,0.6927688674563013,0.8893,NA
NA,NA,2,1,2,2,NA,1972,1.326726350373704,1.3339,NA
NA,NA,3,1,2,1,NA,1972,1.093432848660408,1.3339,NA
NA,NA,1,1,2,2,NA,1972,0.9628227920310989,0.8893,NA
NA,NA,2,1,1,1,NA,1972,0.7740336909899705,0.8893,NA
NA,NA,1,1,2,1,NA,1972,0.9540524531125604,0.8893,NA
NA,NA,2,1,1,2,NA,1972,1.4443272500903823,0.8893,NA
NA,NA,3,1,1,1,NA,1972,0.7740336909899705,0.8893,NA
NA,NA,1,1,2,2,NA,1972,1.0223252568775016,0.8893,NA
NA,NA,3,1,2,2,NA,1972,2.0769863299550524,1.3339,NA
NA,NA,2,1,1,2,NA,1972,1.1098251019585341,0.8893,NA
NA,NA,3,2,1,2,NA,1972,0.4528692389396333,0.8893,NA
NA,NA,2,2,1,1,NA,1972,0.46431044852333064,0.8893,NA
NA,NA,2,2,1,2,NA,1972,0.4160378415318283,0.8893,NA
NA,NA,3,2,1,2,NA,1972,0.4930801475714792,0.8893,NA
NA,NA,3,2,1,1,NA,1972,0.6857622780892815,1.7786,NA
NA,NA,4,2,1,2,NA,1972,0.30666453653411124,0.4446,NA
NA,NA,4,2,1,1,NA,1972,0.2527401959501048,0.4446,NA
NA,NA,3,1,1,2,NA,1972,0.7370937995727819,0.8893,NA
NA,NA,2,1,1,1,NA,1972,0.6074821478971704,0.8893,NA
NA,NA,2,1,1,1,NA,1972,0.6074821478971704,0.8893,NA
NA,NA,1,1,1,2,NA,1972,0.46093595728429126,0.4446,NA
NA,NA,1,1,1,2,NA,1972,0.5477022254257333,0.4446,NA
NA,NA,3,1,2,1,NA,1972,1.04941931574573,1.3339,NA
NA,NA,2,1,1,1,NA,1972,0.6427381606254297,0.8893,NA
NA,NA,2,2,1,2,NA,1972,0.7784960962457317,0.8893,NA
NA,NA,3,2,1,2,NA,1972,0.7765401033161634,0.8893,NA
NA,NA,1,2,1,1,NA,1972,0.9599522509367606,1.3339,NA
NA,NA,2,2,1,1,NA,1972,0.5399952856554446,0.8893,NA
NA,NA,2,2,1,2,NA,1972,0.7765401033161634,0.8893,NA
NA,NA,2,2,1,2,NA,1972,0.6552080225451101,0.8893,NA
NA,NA,3,2,1,1,NA,1972,1.3435221678395188,1.7786,NA
NA,NA,3,2,1,1,NA,1972,0.33584277286711467,0.4446,NA
NA,NA,2,1,1,1,NA,1972,0.6340867102318898,0.8893,NA
NA,NA,2,1,1,2,NA,1972,0.9141450707253006,0.8893,NA
NA,NA,3,1,1,2,NA,1972,0.7735879226697441,0.8893,NA
NA,NA,3,1,1,2,NA,1972,0.9168417124391068,0.8893,NA
NA,NA,2,1,1,1,NA,1972,0.7515075251401964,0.8893,NA
NA,NA,1,1,1,1,NA,1972,0.7492971691833968,0.8893,NA
NA,NA,3,1,1,1,NA,1972,0.6025871649602811,0.8893,NA
NA,NA,1,1,2,1,NA,1972,0.8731311115981261,0.8893,NA
NA,NA,3,1,2,2,NA,1972,2.6436430266881636,1.7786,NA
NA,NA,2,1,2,1,NA,1972,0.8086969442436025,0.8893,NA
NA,NA,3,1,2,2,NA,1972,1.8028726401719462,1.7786,NA
NA,NA,4,1,2,2,NA,1972,0.6608364385840313,0.4446,NA
NA,NA,2,1,2,2,NA,1972,1.065222897657805,0.8893,NA
NA,NA,3,1,2,1,NA,1972,2.1787809706942527,1.7786,NA
